# Distance modulii for Carnegie Supernova Project (CSP) and
# Harvard Center for Astrophysics (CfA) type Ia supernovae
# survey = 1 --> CfA
# survey = 2 --> CSP
SN               zcmb     DM       eDM     survey
SN2006eq         0.04837  36.613   0.112   2
SN2006et         0.02165  34.614   0.046   1
SN2006et         0.02165  34.731   0.027   2
SN2006eu         0.02293  34.784   0.179   1
SN2006ev         0.02760  35.433   0.114   1
SN2006ev         0.02760  35.493   0.116   2
SN2006fw         0.08199  37.808   0.109   2
SN2006gj         0.02697  35.477   0.060   1
SN2006gj         0.02697  35.710   0.035   2
SN2006gr         0.03348  35.796   0.040   1
SN2006gt         0.04364  36.311   0.127   1
SN2006gt         0.04364  36.367   0.043   2
SN2006ha         0.02943  35.500   0.165   1
SN2006hb         0.01534  33.936   0.134   1
SN2006hb         0.01534  33.985   0.122   2
SN2006hx         0.04440  36.502   0.143   2
SN2006is         0.03142  35.432   0.116   2
SN2006je         0.03712  35.967   0.137   1
SN2006ke         0.01713  34.610   0.207   1
SN2006kf         0.02080  34.738   0.049   1
SN2006kf         0.02080  34.817   0.029   2
SN2006le         0.01727  34.034   0.026   1
SN2006lf         0.01297  33.150   0.040   1
SN2006lu         0.05440  36.756   0.102   2
SN2006mo         0.03601  35.960   0.113   1
SN2006mq         0.00405  30.126   0.056   1
SN2006mr         0.00551  31.924   0.106   2
SN2006nz         0.03715  36.040   0.110   1
SN2006oa         0.05891  37.089   0.047   1
SN2006ob         0.05826  36.909   0.045   2
SN2006ob         0.05826  37.002   0.053   1
SN2006or         0.02198  34.985   0.136   1
SN2006os         0.03208  35.651   0.148   1
SN2006os         0.03208  35.688   0.116   2
SN2006ot         0.05232  36.763   0.142   1
SN2006py         0.05664  36.838   0.061   2
SN2006qo         0.03078  35.372   0.031   1
SN2006sr         0.02298  34.990   0.035   1
SN2006td         0.01505  34.249   0.030   1
SN2006te         0.03214  35.670   0.116   1
SN2007A          0.01646  34.327   0.031   2
SN2007F          0.02416  35.005   0.023   1
SN2007N          0.01400  33.764   0.170   1
SN2007N          0.01400  34.063   0.087   2
SN2007O          0.03659  35.861   0.122   1
SN2007R          0.03132  35.646   0.124   1
SN2007S          0.01502  33.915   0.042   2
SN2007S          0.01502  33.949   0.041   1
SN2007ae         0.06425  37.105   0.122   1
SN2007af         0.00629  31.908   0.023   1
SN2007af         0.00629  32.011   0.025   2
SN2007ai         0.03199  35.684   0.122   1
SN2007ai         0.03199  35.788   0.040   2
SN2007al         0.01326  33.946   0.149   2
SN2007al         0.01332  33.816   0.170   1
SN2007ap         0.01616  34.221   0.124   1
SN2007ar         0.05335  36.785   0.128   1
SN2007as         0.01790  34.262   0.025   2
SN2007au         0.02086  34.692   0.049   1
SN2007ax         0.00764  32.682   0.213   1
SN2007ax         0.00764  32.945   0.080   2
SN2007ba         0.03905  35.650   0.043   2
SN2007ba         0.03905  35.898   0.142   1
SN2007bc         0.02185  34.729   0.040   1
SN2007bc         0.02185  34.764   0.028   2
SN2007bd         0.03183  35.470   0.037   1
SN2007bd         0.03183  35.650   0.035   2
SN2007bm         0.00744  32.152   0.049   1
SN2007bm         0.00744  32.300   0.043   2
SN2007bz         0.02274  35.270   0.078   1
SN2007ca         0.01507  34.258   0.041   1
SN2007ca         0.01507  34.391   0.029   2
SN2007cg         0.03417  35.696   0.131   2
SN2007cg         0.03419  35.668   0.146   1
SN2007ci         0.01922  34.442   0.063   1
SN2007co         0.02656  35.150   0.029   1
SN2007cp         0.03772  36.033   0.138   1
SN2007hj         0.01288  33.868   0.032   2
SN2007hx         0.07887  37.727   0.107   2
SN2007jd         0.07191  37.534   0.111   2
