id ra dec z_peak lmass SFR_tot
5859 150.4763 1.809774 1.9307 10.71 47.128
5886 150.38765 1.810027 1.8688 10.08 2.328
6078 150.48109 1.8153309 2.006 10.57 163.688
6296 150.65356 1.821708 1.8822 10.08 50.164
6302 150.48938 1.8217219 2.138 10.75 211.415
6307 150.49138 1.8220676 2.0083 10.29 2.468
6378 150.51469 1.8237462 2.1105 10.68 4.246
6463 150.37296 1.8248448 1.9733 11.09 39.437
6498 150.4389 1.8262376 1.802 10.06 95.097
6514 150.46266 1.8277467 2.1474 10.26 1.076
6532 150.37891 1.8281188 2.0748 10.64 49.493
6534 150.45348 1.8282288 2.153 10.39 5.847
6545 150.65199 1.8289773 1.9246 10.19 62.332
6567 150.67615 1.8287652 2.029 10.94 118.856
6681 150.66426 1.8316817 2.1235 10.82 88.463
6702 150.4498 1.8325922 1.8492 10.04 22.358
6756 150.65036 1.8346317 2.0805 10.03 41.758
6803 150.50291 1.8351669 2.1582 10.65 93.397
6861 150.43291 1.8356222 1.9983 10.88 36.33
6864 150.47594 1.8376595 1.8447 10.11 0.436
6886 150.47585 1.8383383 1.8478 10.04 48.15
6905 150.59465 1.8381238 1.881 10.6 2.939
7072 150.67838 1.8425736 2.1114 11.19 124.68
7093 150.45641 1.8430175 1.9451 10.54 104.519
7107 150.47475 1.8432347 2.0068 10.11 3.058
7273 150.68478 1.8469687 2.0152 10.22 33.561
7284 150.4025 1.8474479 1.9915 10.44 22.165
7341 150.45068 1.8480631 1.9054 11.02 229.402
7478 150.62527 1.8523664 1.9515 10.06 46.447
7551 150.49413 1.8542234 1.8221 10.2 122.296
7584 150.3856 1.854547 1.8289 10.53 41.864
7614 150.37035 1.8555719 1.9261 11.25 229.201
7623 150.67834 1.8539087 1.9948 10.43 31.874
7742 150.60185 1.8562533 1.8105 10.6 0.894
7776 150.59761 1.8597683 2.0562 10.63 130.821
8074 150.47679 1.8670084 2.0591 10.07 3.287
8079 150.47449 1.8670111 1.9947 10.61 116.713
8149 150.65926 1.8690289 2.1746 10.2 67.861
8234 150.6636 1.8703495 1.9558 10.1 41.022
8248 150.38216 1.8695623 1.9592 11.07 247.855
8249 150.37968 1.8707151 1.9318 10.24 52.685
8258 150.44281 1.8702123 2.032 10.8 72.505
8259 150.424 1.8669828 1.8143 10.9 51.086
8269 150.4422 1.8705688 1.8966 10.65 24.064
8271 150.43123 1.8701513 2.0862 10.06 1.748
8399 150.76373 1.8736204 2.0649 10.87 124.076
8525 150.40552 1.8748575 1.9856 10.03 38.429
8547 150.70404 1.8759042 2.0097 10.65 87.479
8602 150.61517 1.8770937 1.8391 10.04 9.838
8668 150.61568 1.8767442 1.8196 11.02 22.869
8690 150.63293 1.877528 1.8408 10.21 36.13
8704 150.73779 1.878677 1.9604 10.17 68.009
8730 150.40367 1.8787756 1.9354 10.06 69.998
8769 150.46349 1.8794978 2.0672 10.27 105.026
8770 150.4333 1.8792286 1.8783 10.39 1.198
8780 150.43115 1.8791647 2.0762 10.13 42.057
8906 150.73633 1.8827419 1.8922 10.03 81.808
8941 150.73708 1.8829017 2.0271 10.79 41.242
8956 150.67934 1.8829668 1.9311 11.09 77.075
9002 150.73889 1.8846568 1.9164 10.29 40.987
9036 150.74292 1.8853611 2.0727 10.75 101.034
9039 150.73882 1.8839191 1.8265 11.34 133.029
9058 150.39391 1.8846459 1.8599 10.08 59.393
9134 150.72488 1.8862406 1.8411 10.56 160.258
9177 150.76811 1.8877593 2.0945 10.78 143.586
9197 150.66811 1.8875765 1.8569 10.03 35.899
9256 150.49556 1.888804 2.1783 10.19 1.24
9387 150.77119 1.8910309 1.8868 10.89 54.63
9391 150.53508 1.8910699 2.0325 10.6 4.48
9572 150.67953 1.8939576 2.0717 10.13 125.145
9688 150.51016 1.8962052 1.8727 10.91 123.668
9702 150.55267 1.8963861 1.86 10.62 86.005
9796 150.39059 1.8978355 2.136 10.46 34.887
9820 150.68214 1.8981682 1.8422 11.05 157.057
10020 150.60423 1.9017725 1.9233 10.91 12.278
10033 150.43887 1.9018295 2.0305 10.13 43.741
10050 150.51143 1.9027956 1.9332 10.92 1.73
10079 150.38754 1.9040654 2.1578 10.37 0.306
10092 150.41943 1.9039799 1.8222 10.26 74.651
10178 150.40134 1.9046001 2.1931 11.08 282.433
10253 150.46288 1.9043659 2.1352 11.21 146.577
10353 150.39043 1.9076504 1.9658 10.99 169.264
10357 150.62941 1.9072779 1.865 10.88 116.199
10480 150.43279 1.9106032 1.8259 10.02 30.186
10556 150.49525 1.9125954 1.801 10.17 71.61
10703 150.48119 1.9136791 2.0128 11.23 39.072
10788 150.76482 1.9163696 1.8248 10.14 28.424
10793 150.74146 1.9155765 1.8904 10.96 34.363
10837 150.76366 1.9171655 1.8351 10.51 39.018
10844 150.76404 1.9166032 1.8227 10.42 4.672
10897 150.40581 1.9176543 1.8706 10.72 15.424
10906 150.72285 1.9177686 2.0008 10.39 44.839
11026 150.40932 1.9192688 1.8312 10.33 37.756
11087 150.66078 1.9198188 1.9781 10.63 158.467
11154 150.73538 1.9220377 2.1776 10.04 108.2
11180 150.73291 1.9214081 2.1459 10.91 148.842
11268 150.40765 1.9235907 2.1601 10.33 97.937
11361 150.40808 1.9226725 1.915 10.57 82.233
11455 150.39635 1.9256895 2.1669 10.13 11.245
11459 150.37396 1.9257892 1.8163 10.2 47.236
11550 150.41142 1.9277527 2.0691 10.33 55.502
11559 150.6853 1.9286805 2.1431 10.56 0.818
11588 150.51949 1.9262691 1.8448 11.21 64.711
11602 150.76472 1.9288446 1.8592 10.1 26.388
11745 150.62915 1.9314876 1.9185 10.51 1.215
11762 150.62874 1.9318339 1.9536 10.55 1.035
11770 150.77711 1.931644 1.8984 10.25 46.527
11815 150.425 1.9313642 1.98 10.1 9.9
11837 150.40869 1.9329562 2.0882 10.19 19.735
11849 150.60823 1.9330297 2.0359 10.65 49.117
11913 150.38142 1.9326768 1.8001 10.68 96.064
12091 150.56618 1.9366702 1.9961 10.07 74.068
12311 150.42758 1.9397271 1.8418 10.44 82.028
12529 150.59953 1.943538 1.9004 10.21 90.795
12732 150.43919 1.9473687 1.9761 10.05 34.803
13023 150.51891 1.952002 2.1778 10.92 3.817
13098 150.75565 1.9534267 1.8239 10.31 59.177
13175 150.70976 1.9547395 1.8674 10.15 44.49
13303 150.63602 1.9560226 1.9308 10.75 6.496
13386 150.45882 1.9575487 1.8347 10.61 269.691
13402 150.74014 1.9573908 2.0631 10.69 154.722
13535 150.66611 1.9597105 1.8384 10.56 50.433
13635 150.72066 1.9614309 1.8609 10.65 2.709
13738 150.77156 1.9639896 2.1654 10.22 47.109
13740 150.76547 1.9642327 1.852 10.01 85.662
13758 150.38136 1.9635333 1.8777 10.26 63.227
13811 150.67773 1.9639009 1.8625 11.22 161.573
14148 150.41537 1.9699777 2.0621 10.64 123.551
14191 150.701 1.9707088 1.8456 10.96 0.97
14365 150.4406 1.9726515 1.9839 10.19 49.262
14440 150.50955 1.9739982 2.0233 10.38 89.571
14523 150.39502 1.9770222 1.8204 10.28 54.753
14551 150.71172 1.9770768 2.0149 10.06 49.61
14809 150.3138 1.6047657 1.9613 10.96 58.923
14981 150.0723 1.6080874 1.9244 10.52 0.353
14991 150.05621 1.6075882 2.1234 10.71 22.494
15030 150.22755 1.6089509 2.1762 10.01 11.806
15106 150.23697 1.6093175 1.8208 10.06 39.723
15152 150.06374 1.6099598 2.1265 10.85 176.665
15259 150.2923 1.6118854 2.0541 10.89 44.54
15264 150.12753 1.6122175 2.1416 10.75 127.299
15314 150.26588 1.6127754 2.0457 10.02 3.496
15333 150.05101 1.6124263 2.0774 10.21 22.966
15487 150.27682 1.6146524 2.053 10.29 11.145
15545 150.11443 1.6164778 2.1678 10.67 68.996
15583 150.1485 1.6168334 2.1658 10.11 30.03
15619 150.17409 1.6173866 1.86 10.21 38.226
15650 149.91145 1.617732 1.8127 10.57 27.118
15740 149.91718 1.6183496 1.8115 10.73 19.673
15762 150.26573 1.6188678 1.8588 10.45 65.599
15790 150.04056 1.6195527 2.0201 10.76 88.355
15819 150.14735 1.6203594 1.8743 10.25 0.991
15851 150.04135 1.6207464 2.1173 10.31 85.883
15862 150.11916 1.6208636 1.8695 10.62 1.388
15870 150.05312 1.6208647 2.1096 10.39 30.376
15994 150.20583 1.6226242 2.0168 10.13 54.43
15999 150.05962 1.6231683 1.868 10.06 9.749
16156 150.33955 1.6251199 1.8592 10.68 83.387
16162 150.20293 1.6255717 2.029 10.27 0.104
16179 150.13217 1.6255842 2.1872 10.39 30.114
16440 150.01514 1.6290216 2.0032 10.44 31.868
16446 150.2984 1.6288053 2.0489 10.69 13.157
16457 150.05278 1.6292526 2.0427 10.63 68.506
16479 150.0136 1.6293908 2.0465 10.96 3.25
16570 150.20146 1.6306111 1.8992 10.63 113.788
16582 150.01392 1.6297024 2.1453 11.1 24.083
16670 149.92763 1.6321526 2.1727 10.12 6.012
16689 150.27097 1.6323369 1.8641 10.7 127.528
16697 150.20164 1.631988 1.8317 10.41 45.999
16698 149.9929 1.6323804 1.8443 10.72 14.415
16724 150.20306 1.6328003 1.8444 10.3 1.096
