id ra dec z_peak lmass SFR_tot
3 150.4055 1.6069111 0.5469 10.5 9.315
11 150.4118 1.6107583 0.2275 11.05 0.359
53 150.41562 1.6143341 0.4226 10.11 0.792
84 150.41039 1.621448 0.4226 10.95 5.457
138 150.37794 1.628648 0.5249 10.83 0.289
184 150.40324 1.6439888 0.4156 11.32 2.638
203 150.3862 1.6368184 0.3351 10.22 2.027
206 150.3961 1.6378967 0.5462 10.07 4.098
328 150.42075 1.6508021 0.2778 10.35 2.557
683 150.62228 1.6638772 0.5201 10.62 5.569
933 150.68564 1.6715577 0.3688 10.03 1.752
945 150.59697 1.6715282 0.367 10.05 1.166
1021 150.68697 1.6708615 0.3758 11.42 0.874
1112 150.68884 1.6762605 0.3666 10.27 2.196
1177 150.37762 1.678937 0.2325 10.04 0.507
1218 150.59686 1.6796018 0.4494 10.21 5.408
1222 150.42427 1.6785986 0.2169 10.03 0.059
1239 150.63145 1.6809324 0.5246 10.27 2.991
1255 150.38313 1.6798912 0.3146 10.28 9.815
1262 150.42651 1.6828007 0.2174 11.25 0.699
1266 150.42876 1.6781067 0.3676 10.71 0.499
1374 150.6115 1.6810198 0.2589 10.77 8.055
1442 150.58144 1.6861721 0.4881 10.53 11.77
1458 150.59431 1.6872171 0.5302 10.02 2.672
1515 150.38657 1.6856456 0.303 10.72 0.973
1516 150.37013 1.687307 0.5974 11.02 3.245
1603 150.43234 1.6867609 0.2327 10.53 1.728
1646 150.37904 1.6888731 0.3191 10.87 2.422
1709 150.39793 1.6936668 0.5853 10.67 0.582
1739 150.68788 1.6931404 0.313 10.23 2.989
1748 150.59892 1.6957788 0.3751 10.12 4.624
1812 150.67621 1.6965106 0.2898 10.41 0.194
1856 150.68423 1.6975945 0.5865 11.13 0.681
1867 150.61342 1.6964118 0.3336 10.34 2.441
1876 150.38232 1.6978396 0.4056 10.33 9.659
1998 150.65964 1.7040406 0.5148 10.75 0.292
2001 150.38986 1.7037306 0.5915 10.45 0.843
2020 150.49382 1.7017013 0.2118 10.26 2.371
2030 150.37569 1.7045243 0.5557 10.12 5.659
2180 150.64561 1.709805 0.3693 10.52 0.193
2197 150.41277 1.7092404 0.4813 10.94 0.832
2223 150.64583 1.7090213 0.3015 10.46 0.157
2287 150.62202 1.7107239 0.3674 10.18 2.78
2338 150.65588 1.7154458 0.5574 10.26 0.154
2355 150.68983 1.7139128 0.3006 10.3 0.186
2379 150.64792 1.7142262 0.3315 10.6 10.398
2422 150.58905 1.7146442 0.3605 10.71 0.499
2448 150.37225 1.7149769 0.4215 10.8 8.709
2489 150.6236 1.7175781 0.3671 10.71 0.26
2556 150.65306 1.7159003 0.3759 10.96 0.498
2582 150.63942 1.7216839 0.5691 10.28 0.402
2715 150.47633 1.7247822 0.537 10.06 0.169
2722 150.47414 1.7236452 0.5256 10.96 0.49
2746 150.59836 1.7233098 0.3871 10.34 5.911
2887 150.66321 1.7299134 0.3672 10.35 0.157
2904 150.43205 1.7292415 0.3564 10.47 12.032
2924 150.44595 1.7314976 0.5234 10.33 0.472
2965 150.47765 1.7294407 0.4318 11.09 0.536
2974 150.43185 1.7287689 0.3538 10.42 27.973
2978 150.44441 1.732111 0.5611 10.55 7.269
3006 150.60793 1.7336925 0.5924 10.07 3.724
3077 150.42128 1.7317607 0.5588 10.83 36.083
3115 150.42822 1.7360545 0.3712 10.27 5.815
3134 150.44608 1.7356312 0.5471 11.09 7.747
3154 150.41962 1.7377181 0.5647 10.24 10.347
3162 150.41907 1.7361317 0.3595 10.44 9.019
3172 150.41284 1.7414334 0.2041 11.26 0.703
3200 150.60756 1.7404711 0.4792 10.17 0.849
3290 150.6572 1.742121 0.5689 10.48 5.807
3293 150.69533 1.7404952 0.374 10.23 16.992
3326 150.6031 1.7421197 0.5474 10.63 7.382
3331 150.69125 1.7422369 0.2376 10.03 2.959
3446 150.67674 1.7453531 0.2981 10.52 1.866
3449 150.63821 1.7438155 0.4257 10.35 0.346
3457 150.59871 1.7433959 0.2285 10.33 1.055
3468 150.61797 1.7464623 0.2318 10.14 0.154
3488 150.59576 1.7466227 0.3003 10.29 0.289
3498 150.59367 1.7437654 0.221 10.82 0.294
3540 150.69341 1.7456814 0.2198 10.41 2.541
3548 150.63052 1.7483969 0.3185 10.07 3.919
3575 150.49622 1.7447034 0.305 10.89 6.101
3602 150.59819 1.7513046 0.4818 10.2 0.254
3650 150.48305 1.7479604 0.5288 10.71 15.783
3653 150.64941 1.751074 0.4228 10.13 5.779
3719 150.5043 1.753021 0.5752 10.56 18.218
3777 150.43144 1.7553762 0.3071 10.1 0.072
3785 150.63811 1.7532088 0.4202 10.9 0.352
3796 150.43179 1.7531219 0.296 10.76 0.289
3887 150.61726 1.7557784 0.3116 10.51 10.923
3928 150.60498 1.7545426 0.2649 10.97 0.265
3997 150.66656 1.7575223 0.3219 10.55 0.493
